“ 「
彩牌楼 彩牌樓
復蘇 復甦
复苏 復甦
心裏 心裡
快闪存储器 快閃記憶體
闪存 快閃記憶體
想象 想像
传感 感測
习用 慣用
戏彩娱亲 戲綵娛親
戲裏 戲裡
手电筒 手電筒
手电 手電筒
括号 括弧
拿破侖 拿破崙
拿破仑 拿破崙
積架 捷豹
扫瞄仪 掃瞄器
挂钩 掛鉤
掛鈎 掛鉤
控件 控制項
台球 撞球
桌球 撞球
便携式 攜帶型
故事裏 故事裡
调制解调器 數據機
調制解調器 數據機
斯洛文尼亞 斯洛維尼亞
斯洛文尼亚 斯洛維尼亞
新纪元 新紀元
新紀元 新紀元
日子裏 日子裡
春假裏 春假裡
春天裏 春天裡
春日裏 春日裡
時間裏 時間裡
芯片 晶元
暑假裏 暑假裡
村子裏 村子裡
乍得 查德
克林頓 柯林頓
克林顿 柯林頓
格林納達 格瑞那達
格林纳达 格瑞那達
凡高 梵谷
森林裏 森林裡
棺材裏 棺材裡
榴蓮 榴槤
榴莲 榴槤
仿真 模擬
毛里裘斯 模里西斯
毛里求斯 模里西斯
機械人 機器人
机器人 機器人
字段 欄位
歷史裏 歷史裡
元音 母音
永历 永曆
文莱 汶萊
沙特阿拉伯 沙烏地阿拉伯
沙地阿拉伯 沙烏地阿拉伯
波斯尼亞黑塞哥維那 波士尼亞赫塞哥維納
波斯尼亚和黑塞哥维那 波士尼亞赫塞哥維納
博茨瓦纳 波札那
博茨瓦納 波札那
流程控制 流程控制
侯赛因 海珊
侯賽因 海珊
深淵裏 深淵裡
光标 游標
鼠标 滑鼠
算法 演算法
乌兹别克斯坦 烏茲別克
词组 片語
獄裏 獄裡
塞拉利昂 獅子山
危地马拉 瓜地馬拉
危地馬拉 瓜地馬拉
冈比亚 甘比亞
岡比亞 甘比亞
疑兇 疑凶
疑凶 疑凶
百科裏 百科裡
皮裏陽秋 皮裡陽秋
盧旺達 盧安達
卢旺达 盧安達
真凶 真凶
真兇 真凶
眼睛裏 眼睛裡
硅片 矽片
硅谷 矽谷
硬盘 硬碟
硬件 硬體
盘片 碟片
磁盘 磁碟
磁道 磁軌
秋假裏 秋假裡
秋天裏 秋天裡
秋日裏 秋日裡
程控 程式控制
突尼斯 突尼西亞
尾注 章節附註
蹦极跳 笨豬跳
绑紧跳 笨豬跳
等于 等於
短訊 簡訊
短信 簡訊
系列裏 系列裡
新西蘭 紐西蘭
新西兰 紐西蘭
所罗门群岛 索羅門群島
所羅門群島 索羅門群島
索馬里 索馬利亞
索马里 索馬利亞
结彩 結綵
佛得角 維德角
網絡 網路
网络 網路
互聯網 網際網路
因特网 網際網路
彩球 綵球
彩绸 綵綢
彩线 綵線
彩船 綵船
彩衣 綵衣
缉凶 緝凶
緝兇 緝凶
緝凶 緝凶
意大利 義大利
老字号 老字號
圣基茨和尼维斯 聖克里斯多福及尼維斯
聖吉斯納域斯 聖克里斯多福及尼維斯
聖文森特和格林納丁斯 聖文森及格瑞那丁
圣文森特和格林纳丁斯 聖文森及格瑞那丁
圣卢西亚 聖露西亞
聖盧西亞 聖露西亞
圣马力诺 聖馬利諾
聖馬力諾 聖馬利諾
肚裏 肚裡
肯尼亚 肯亞
肯雅 肯亞
航天大学 航天大學
苦裏 苦裡
毛里塔尼亚 茅利塔尼亞
毛里塔尼亞 茅利塔尼亞
莫桑比克 莫三比克
万历 萬曆
瓦努阿图 萬那杜
瓦努阿圖 萬那杜
也门 葉門
也門 葉門
着 著
科摩羅 葛摩
科摩罗 葛摩
布隆迪 蒲隆地
圭亞那 蓋亞那
圭亚那 蓋亞那
火锅盖帽 蓋火鍋
苏里南 蘇利南
行凶 行凶
行兇 行凶
行凶后 行凶後
行兇後 行凶後
行凶後 行凶後
流動電話 行動電話
移动电话 行動電話
行程控制 行程控制
衞 衛
卫生 衛生
衞生 衛生
埃塞俄比亚 衣索比亞
埃塞俄比亞 衣索比亞
裏勾外連 裡勾外連
裏面 裡面
分辨率 解析度
译码 解碼
出租车 計程車
权限 許可權
瑙鲁 諾魯
瑙魯 諾魯
变量 變數
科特迪瓦 象牙海岸
貝寧 貝南
贝宁 貝南
伯利茲 貝里斯
伯利兹 貝里斯
買兇 買凶
买凶 買凶
買凶 買凶
数据库 資料庫
信息论 資訊理論
奔驰 賓士
平治 賓士
利比里亚 賴比瑞亞
利比里亞 賴比瑞亞
萊索托 賴索托
莱索托 賴索托
软驱 軟碟機
軟件 軟體
软件 軟體
加载 載入
津巴布韦 辛巴威
津巴布韋 辛巴威
词汇 辭彙
加纳 迦納
加納 迦納
追凶 追凶
追兇 追凶
這裏 這裡
逞凶鬥狠 逞凶鬥狠
逞兇鬥狠 逞凶鬥狠
逞凶斗狠 逞凶鬥狠
即食麵 速食麵
方便面 速食麵
快速面 速食麵
连字号 連字號
进制 進位
入球 進球
算子 運算元
遠程控制 遠程控制
远程控制 遠程控制
溫納圖萬 那杜
醫院裏 醫院裡
酰 醯
钩 鉤
鈎 鉤
钩心斗角 鉤心鬥角
鈎心鬥角 鉤心鬥角
锎 鉲
写保护 防寫
阿拉伯联合酋长国 阿拉伯聯合大公國
阿拉伯聯合酋長國 阿拉伯聯合大公國
噪声 雜訊
脱机 離線
雪裏紅 雪裡紅
雪裏蕻 雪裡蕻
雪铁龙 雪鐵龍
青霉素 青黴素
异步 非同步
声卡 音效卡
缺省 預設
颁布 頒布
頒佈 頒布
領域裏 領域裡
头球 頭槌
粒入球 顆進球
館裏 館裡
马里共和国 馬利共和國
馬里共和國 馬利共和國
马耳他 馬爾他
马尔代夫 馬爾地夫
馬爾代夫 馬爾地夫
萬事得 馬自達
狄安娜 黛安娜
戴安娜 黛安娜
點裏 點裡
位图 點陣圖
